Category,Count
Female,-0.12
Male,0.04
21-27,0.028822541510470367
14-20,0.47906763921801265
28-34,-0.22307086620312988
35-41,-0.22823391406412918
42-48,-0.21729349637302808
49-55,-0.15102455877919085
55+,-0.035219685016272484
