CLUSTER_6,Morning,Noon,Afternoon,Evening,Night
Morning,0.10580980363694609,0.010331209362157942,0.003228502925674357,0.001977145202544761,0.005295745884284449
Noon,0.004089437039187518,0.1055695429541052,0.017659160188804854,0.0028030412998102943,0.007593238663950386
Afternoon,0.003073334568006287,0.006051565949054725,0.1669911854361983,0.008429145623000955,0.014846108027209523
Evening,0.0025177317389367465,0.002788025007132739,0.012113142759894486,0.1364480461300511,0.025147284804012352
Night,0.003678991706001011,0.0029632150883708826,0.008934694143145313,0.01043131798000831,0.33122938388151146
