Category,Count
Female,0.01
Male,-0.0
21-27,-0.24341365746659638
28-34,0.13116930067318044
35-41,0.6302360657383423
42-48,0.8945846340899419
14-20,-0.5345805042487402
49-55,0.9439425767369123
55+,1.171782360412431
