total_gaps,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.09287076477978606,0.10370251723119585,0.07693847824890006,0.06190716927866735,0.04288152645620498,0.03048307413543695,0.02348548174769625,0.02008178874078375,0.016002362563381268,0.011937952678656343,0.009265052582051526,0.008319026143365552,0.00714775531451625,0.006071587672624798,0.004965387445378235,0.004149502209897739,0.004039382730262334,0.003598904811720717,0.0028581010396279962,0.0022424330398482352,0.002282476486988382,0.0021373189911053493,0.0016918356416712132,0.0014365586661527758,0.0013915097881201104,0.0013764934954425552,0.0012413468613445588,0.0010611513492138971,0.0009510318695784926,0.0009760590240410846,0.0008709449752981986,0.0007107711867376103,0.0007357983412002022,0.0006507060160273897,0.0006807386013825,0.00047051050389672794,0.0006657223087049448,0.0004604996421116912,0.0005806299835321324,0.0005706191217470956,0.00041545076407902573,0.0003754073169388787,0.0004004344714014706,0.0003053312844436213,0.0003453747315837684,0.0003353638697987316,0.0003603910242613235,0.0003503801624762868,0.0003453747315837684,0.0004755159347892463,0.0009960807476111582,0.0062217505994003495
1,0.0,0.0,0.018745338692481343,0.025507675828273676,0.023615622950901728,0.019195827472807996,0.017188649684908127,0.016347737294965036,0.014160363994934503,0.010751665557129485,0.009069840777243309,0.008113803476772298,0.007898569948394007,0.006527081883843971,0.005200642697326599,0.004965387445378235,0.004569958404869283,0.004074420746509964,0.00337366042155739,0.0028130521615953308,0.0028180575924878493,0.0025077208771517095,0.0021823678691380148,0.001922085462727059,0.0020322049423624634,0.0018169714139841728,0.0014065260807976654,0.0013364500483024082,0.0012413468613445588,0.0012263305686670038,0.0011812816906343383,0.0009510318695784926,0.0010961893654615259,0.0009209992842233824,0.0009410210077934559,0.0008859612679757537,0.0007908580810179044,0.0007958635119104229,0.000615667999779761,0.0007958635119104229,0.0005856354144246508,0.0005656136908545772,0.0006206734306722794,0.0006306842924573162,0.000445483349434136,0.0004604996421116912,0.0003904236096164338,0.000510553951036875,0.00047051050389672794,0.0005205648128219118,0.0009760590240410846,0.0061817071522602025
2,0.0,0.0,0.0,0.0,0.002422628551978897,0.0038641926490241914,0.004875289689312904,0.005801294404428805,0.005546017428910368,0.005080512355906158,0.004675072453612169,0.004690088746289725,0.004615007282901948,0.004184540226145368,0.00321849206388932,0.003508807055655386,0.00321849206388932,0.003023280259081103,0.002397601397516305,0.0022624547634183087,0.0021473298528903863,0.0021823678691380148,0.0016818247798861764,0.0015767107311432905,0.0015116401295405515,0.0014615858206153676,0.0013664826336575184,0.0012413468613445588,0.0011862871215268566,0.0011212165199241176,0.0010511404874288604,0.0009109884224383456,0.0008759504061907169,0.0007357983412002022,0.0008008689428029412,0.0007408037720927207,0.0006457005851348714,0.0006256788615647978,0.0006957548940600552,0.0005806299835321324,0.000510553951036875,0.0004855267965742831,0.00046550507300420957,0.0005856354144246508,0.0004354724876490993,0.0005305756746069486,0.0005706191217470956,0.000445483349434136,0.0003904236096164338,0.0004905322274668015,0.0009910753167186397,0.004810219087710166
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0003053312844436213,0.000785852650125386,0.0012463522922370773,0.001281390308484706,0.001646786763638548,0.0016718139181011397,0.0017168627961338051,0.0016567976254235847,0.0016317704709609927,0.001386504357227592,0.0016317704709609927,0.001506634698648033,0.0013915097881201104,0.0011712708288493016,0.001086178503676489,0.0010811730727839706,0.001166265397956783,0.0008609341135131618,0.001086178503676489,0.0009660481622560478,0.0009009775606533088,0.0007107711867376103,0.000720782048522647,0.0008309015281580515,0.0006657223087049448,0.0007007603249525736,0.0005906408453171692,0.0005806299835321324,0.000575624552639614,0.0005505973981770221,0.0005005430892518382,0.000445483349434136,0.0004955376583593199,0.00042546162586406253,0.0004905322274668015,0.00038041274783139707,0.0004004344714014706,0.0003503801624762868,0.00034036930069125,0.0004304670567565809,0.0003954290405089522,0.0003353638697987316,0.0004304670567565809,0.00038041274783139707,0.0008158852354804963,0.003228502925674357
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5038016247628675e-05,7.508146338777574e-05,0.00021523352837829045,0.0003103367153361397,0.0003904236096164338,0.00046550507300420957,0.0004554942112191728,0.00047051050389672794,0.0004354724876490993,0.0005055485201443566,0.0006657223087049448,0.0006106625688872426,0.0005405865363919853,0.0005455919672845037,0.0004755159347892463,0.0004955376583593199,0.0005355811054994669,0.000510553951036875,0.0004554942112191728,0.0004004344714014706,0.000405439902293989,0.00041545076407902573,0.00041545076407902573,0.0004204561949715441,0.0003053312844436213,0.0003103367153361397,0.0003653964551538419,0.0003453747315837684,0.0003603910242613235,0.0003503801624762868,0.00032535300801369486,0.00032535300801369486,0.0003704018860463603,0.00027529869908851103,0.0002903149917660662,0.00022023895927080882,0.0002252443901633272,0.00023525525194836397,0.0002552769755184375,0.0002853095608735478,0.00024026068284088237,0.0002602824064109559,0.0006206734306722794,0.0019521180480821692
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5016292677555148e-05,3.0032585355110296e-05,8.008689428029412e-05,4.504887803266544e-05,9.009775606533088e-05,0.0001451574958830331,0.0001451574958830331,0.00015516835766806985,0.0002002172357007353,0.0002252443901633272,0.0002302498210558456,0.0002302498210558456,0.0002002172357007353,0.0002652878373034743,0.00021022809748577205,0.00024526611373340074,0.00020522266659325368,0.0002602824064109559,0.00020522266659325368,0.00022023895927080882,0.00020522266659325368,0.00015516835766806985,0.0002002172357007353,0.000170184650345625,0.00022023895927080882,0.0002002172357007353,0.00019020637391569854,0.0002302498210558456,0.00021022809748577205,0.00022023895927080882,0.00012513577231295956,0.00015516835766806985,0.00016017378856058825,0.000170184650345625,0.00015016292677555147,0.00015516835766806985,0.00015016292677555147,0.00010010861785036765,0.0002302498210558456,0.00015516835766806985,0.0003503801624762868,0.0011962979833118933
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,5.005430892518383e-06,1.0010861785036765e-05,1.0010861785036765e-05,1.5016292677555148e-05,5.005430892518383e-05,4.004344714014706e-05,4.504887803266544e-05,4.004344714014706e-05,9.510318695784927e-05,6.006517071022059e-05,7.508146338777574e-05,0.00010010861785036765,5.005430892518383e-05,0.0001151249105279228,8.008689428029412e-05,0.00012513577231295956,7.508146338777574e-05,0.00013014120320547796,8.50923251728125e-05,9.009775606533088e-05,0.00013014120320547796,0.00010010861785036765,6.006517071022059e-05,9.009775606533088e-05,9.510318695784927e-05,0.00013014120320547796,9.009775606533088e-05,9.009775606533088e-05,0.00010010861785036765,0.00011011947963540441,6.507060160273898e-05,4.004344714014706e-05,7.508146338777574e-05,0.00010010861785036765,0.0001151249105279228,9.009775606533088e-05,9.510318695784927e-05,0.0002302498210558456,0.0006356897233498346
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,0.0,0.0,3.0032585355110296e-05,5.005430892518383e-06,1.0010861785036765e-05,1.0010861785036765e-05,2.5027154462591913e-05,5.005430892518383e-06,4.004344714014706e-05,3.0032585355110296e-05,2.5027154462591913e-05,4.004344714014706e-05,3.5038016247628675e-05,2.5027154462591913e-05,2.002172357007353e-05,4.504887803266544e-05,1.5016292677555148e-05,5.005430892518383e-05,5.5059739817702206e-05,5.005430892518383e-05,2.5027154462591913e-05,6.006517071022059e-05,6.507060160273898e-05,4.504887803266544e-05,5.5059739817702206e-05,4.504887803266544e-05,3.5038016247628675e-05,5.005430892518383e-05,5.005430892518383e-05,3.0032585355110296e-05,0.00010511404874288603,6.006517071022059e-05,0.00010010861785036765,5.5059739817702206e-05,0.0001151249105279228,0.0003503801624762868
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,5.005430892518383e-06,5.005430892518383e-06,0.0,1.0010861785036765e-05,5.005430892518383e-06,0.0,5.005430892518383e-06,5.005430892518383e-06,1.0010861785036765e-05,1.5016292677555148e-05,1.0010861785036765e-05,5.005430892518383e-06,1.5016292677555148e-05,2.5027154462591913e-05,2.002172357007353e-05,5.005430892518383e-06,3.5038016247628675e-05,2.002172357007353e-05,2.002172357007353e-05,4.004344714014706e-05,2.5027154462591913e-05,3.0032585355110296e-05,1.5016292677555148e-05,1.5016292677555148e-05,1.0010861785036765e-05,4.504887803266544e-05,3.0032585355110296e-05,1.5016292677555148e-05,5.005430892518383e-05,0.0001151249105279228
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,0.0,5.005430892518383e-06,0.0,0.0,0.0,1.5016292677555148e-05,1.0010861785036765e-05,5.005430892518383e-06,0.0,0.0,5.005430892518383e-06,1.5016292677555148e-05,0.0,0.0,1.5016292677555148e-05,1.0010861785036765e-05,2.002172357007353e-05,2.002172357007353e-05,0.0,1.5016292677555148e-05,5.005430892518383e-06,1.0010861785036765e-05,3.0032585355110296e-05,3.5038016247628675e-05,3.0032585355110296e-05
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,1.5016292677555148e-05,5.005430892518383e-06,0.0,0.0,5.005430892518383e-06,1.0010861785036765e-05,5.005430892518383e-06,5.005430892518383e-06,0.0,0.0,0.0,1.0010861785036765e-05,5.005430892518383e-06,3.0032585355110296e-05,4.004344714014706e-05
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,5.005430892518383e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,5.005430892518383e-06,0.0,1.5016292677555148e-05,0.0,3.0032585355110296e-05,0.0,0.0,2.002172357007353e-05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,0.0,0.0,5.005430892518383e-06
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005430892518383e-06,0.0,0.0,0.0
